0	0	0.998334	0.00166583
0.1	0.0998334	0.988359	0.00667839
0.2	0.198669	0.968509	0.0117929
0.3	0.29552	0.938981	0.0171198
0.4	0.389418	0.900072	0.0227879
0.5	0.479426	0.852169	0.0289582
0.6	0.564642	0.795752	0.0358442
0.7	0.644218	0.731384	0.0437452
0.8	0.717356	0.659708	0.0531049
0.9	0.783327	0.581441	0.0646213
1	0.841471	0.497364	0.0794713
1.1	0.891207	0.408317	0.099822
1.2	0.932039	0.315191	0.130166
1.3	0.963558	0.218915	0.181621
1.4	0.98545	0.120453	0.291319
1.5	0.997495	0.0207862	0.706149
1.6	0.999574	-0.0790879	1.70853
1.7	0.991665	-0.178172	0.382844
1.8	0.973848	-0.275475	0.212469
1.9	0.9463	-0.370027	0.144567
2	0.909297	-0.460881	0.107495
2.1	0.863209	-0.54713	0.0837553
2.2	0.808496	-0.627912	0.0669681
2.3	0.745705	-0.70242	0.0542482
2.4	0.675463	-0.76991	0.0440967
2.5	0.598472	-0.829708	0.0356542
2.6	0.515501	-0.881215	0.0283889
2.7	0.42738	-0.923917	0.0219509
2.8	0.334988	-0.957388	0.0160958
2.9	0.239249	-0.981293	0.0106442
3	0.14112	-0.995393	0.00545556
3.1	0.0415807	-0.999548	0.000413266
3.2	-0.0583741	-0.993716	0.00458709
3.3	-0.157746	-0.977954	0.00964647
3.4	-0.255541	-0.952421	0.0148707
3.5	-0.350783	-0.917372	0.0203795
3.6	-0.44252	-0.873157	0.0263186
3.7	-0.529836	-0.820218	0.0328765
3.8	-0.611858	-0.759083	0.0403114
3.9	-0.687766	-0.690363	0.0489976
4	-0.756802	-0.614746	0.0595087
4.1	-0.818277	-0.532987	0.0727829
4.2	-0.871576	-0.445902	0.0904808
4.3	-0.916166	-0.354361	0.115863
4.4	-0.951602	-0.25928	0.156353
4.5	-0.97753	-0.161609	0.233339
4.6	-0.993691	-0.0623225	0.444306
4.7	-0.999923	0.0375865	4.03394
4.8	-0.996165	0.13712	0.567103
4.9	-0.982453	0.235283	0.261489
5	-0.958924	0.331096	0.167219
5.1	-0.925815	0.4236	0.120702
5.2	-0.883455	0.511872	0.0925377
5.3	-0.832267	0.59503	0.0733353
5.4	-0.772764	0.672242	0.0591605
5.5	-0.70554	0.742737	0.0480719
5.6	-0.631267	0.805811	0.0389974
5.7	-0.550686	0.860834	0.0312932
5.8	-0.464602	0.907255	0.0245456
5.9	-0.373877	0.944612	0.0184729
6	-0.279415	0.97253	0.0128724
6.1	-0.182163	0.990731	0.00758956
